[270336.225, 6653042.482]
[262154.351, 6649734.343]
[256119.045, 6650447.011]
[265956.469, 6652476.972]
[265990.851, 6652397.852]
[261359.161, 6649525.842]
[328539.3, 7103234.8]
[328801.8, 7102296.0]
[328744.7, 7102902.5]
[327927.3, 7104966.4]
[328554.5, 7104103.3]
[328548.2, 7103850.1]
[296425.5, 7042381.2]
[335912.599, 7115800.035]
[331140.229, 7039590.773]
[313020.328, 7040527.799]
[243746.32, 6594241.8]
[237092.816, 6596317.349]
[227884.93, 6613850.24]
[231266.47, 6622654.74]
[229060.604, 6606526.657]
[355146.7, 6795983.7]
[286329.662, 6746106.792]
[339641.974, 6658321.902]
[341616.676, 6649940.633]
[426395.4, 7268730.5]
[426354.5, 7268831.8]
[254053.515, 6785986.449]
[246699.41, 6687266.61]
[163000.872, 6873369.029]
[261198.594, 6727389.733]
[198006.712, 6766525.782]
[197900.938, 6887175.79]
[198933.039, 6885253.534]
[236811.352, 6833902.27]
[247961.53, 6807811.5]
[220351.806, 6733123.474]
[266434.993, 6754633.984]
[264765.017, 6761806.45]
[213137.892, 6864076.755]
[175063.551, 6789178.592]
[264276.009, 6746890.06]
[253271.512, 6787936.55]
[260901.548, 6687065.702]
[261653.121, 6682378.489]
[243570.961, 6822608.006]
[265377.919, 6586505.73]
[292953.3, 6592153.3]
[269077.1, 6567685.0]
[268795.4, 6570484.9]
[255380.441, 6597520.594]
[269550.097, 6567735.364]
[291479.861, 6623549.849]
[280490.338, 6576720.021]
[289457.663, 6559428.186]
[193477.167, 6569941.869]
[175014.508, 6583996.265]
[175016.472, 6583996.677]
[175281.135, 6584055.189]
[175286.047, 6584056.209]
[132787.543, 6599734.607]
[183883.82, 6574581.271]
[169324.672, 6595760.465]
[193226.855, 6571838.456]
[193427.254, 6570976.208]
[193432.083, 6570138.195]
[104840.685, 6624555.376]
[194066.998, 6565019.907]
[194214.133, 6564352.67]
[195700.34, 6557182.44]
[84757.353, 6645429.109]
[173914.724, 6585162.244]
[172574.557, 6588804.887]
[173987.035, 6585344.272]
[178112.069, 6582666.129]
[180195.222, 6579023.894]
[155177.955, 6994489.624]
[155255.152, 6994343.173]
[154495.581, 6994662.692]
[199622.346, 6951613.748]
[197621.988, 6949318.533]
[197600.805, 6949224.101]
[191909.449, 6954374.868]
[177140.011, 6962147.588]
[177002.331, 6962331.121]
[176490.47, 6962807.489]
[174556.076, 6963787.388]
[173484.245, 6964276.382]
[173306.397, 6964349.376]
[173100.396, 6964404.276]
[172023.98, 6964576.219]
[171411.415, 6965134.889]
[171556.432, 6965009.406]
[170987.019, 6965567.581]
[170881.016, 6965652.46]
[170749.033, 6965867.272]
[49350.908, 6461371.154]
[234061.79, 6691893.646]
[233849.325, 6693783.767]
[261752.052, 6742076.515]
[238848.718, 6683165.989]
[240833.47, 6683841.479]
[228113.444, 6684209.447]
[225911.805, 6685183.46]
[224464.85, 6684956.614]
[221196.567, 6687597.036]
[220665.692, 6687969.294]
[242767.501, 6654427.8]
[84676.677, 6471246.249]
[84675.722, 6471407.326]
[84673.326, 6471607.308]
[84977.671, 6472302.881]
[84993.516, 6472399.574]
[84996.423, 6472592.653]
[84728.793, 6473189.014]
[84723.614, 6473212.823]
[84675.002, 6473386.656]
[84698.954, 6474435.502]
[87109.631, 6466823.95]
[168913.598, 6745303.077]
[84615.785, 6475054.05]
[83807.736, 6475842.765]
[82050.706, 6478382.003]
[81922.092, 6478535.918]
[80357.911, 6479325.318]
[79862.614, 6480325.861]
[79812.967, 6480589.467]
[79719.539, 6480892.107]
[80814.384, 6482837.415]
[80778.272, 6483806.498]
[104086.89, 6485592.94]
[104091.35, 6485848.98]
[104055.632, 6485220.902]
[272596.611, 6893055.185]
[191064.76, 6573827.871]
[183355.236, 6574718.925]
[176579.86, 6583456.626]
[27408.023, 6481283.425]
[19677.054, 6488586.373]
[31426.717, 6481090.627]
[94912.554, 6468530.305]
[91027.848, 6468118.774]
[54512.707, 6457669.506]
[48369.608, 6462847.313]
[47405.83, 6463236.748]
[46253.391, 6464355.52]
[45580.002, 6465174.42]
[38846.362, 6472279.498]
[35519.522, 6473500.184]
[35356.411, 6473530.257]
[83579.55, 6523786.643]
[83374.927, 6525496.258]
[84752.372, 6529659.928]
[71465.031, 6576494.653]
[72547.318, 6578906.549]
[74596.4, 6588666.5]
[73091.107, 6589848.347]
[72494.338, 6590021.16]
[71513.394, 6590961.281]
[65412.467, 6600590.636]
[64262.989, 6603551.245]
[66492.27, 6605358.113]
[70466.934, 6614728.941]
[69036.966, 6626386.518]
[68728.668, 6626982.937]
[240701.622, 6591833.543]
[239998.094, 6591624.263]
[239658.643, 6591330.421]
[241142.862, 6591539.388]
[83411.544, 6545195.342]
[79711.096, 6557163.196]
[73735.56, 6572873.375]
[73656.252, 6573014.6]
[73402.946, 6573522.792]
[73237.073, 6573854.912]
[72985.146, 6574332.05]
[220995.746, 6687737.691]
[220259.156, 6562658.942]
[203196.829, 6561335.171]
[177680.598, 6617409.833]
[175595.11, 6616165.288]
[135816.534, 6735835.717]
[89600.684, 6467816.716]
[165963.273, 6750286.204]
[237426.836, 6590919.458]
[235182.368, 6582030.008]
[232936.784, 6580752.328]
[228334.533, 6573006.425]
[226177.521, 6569632.334]
[224720.009, 6567114.351]
[174041.965, 6584887.556]
[266042.891, 6647652.977]
[281134.05, 6569930.521]
[277585.025, 6575541.192]
[277763.808, 6575537.887]
[276107.486, 6579650.773]
[273807.409, 6582009.897]
[269981.493, 6583263.877]
[268214.586, 6585652.329]
[258755.463, 6590728.953]
[258699.105, 6590690.67]
[258784.429, 6590772.459]
[256095.238, 6594119.28]
[259394.528, 6617340.696]
[259579.699, 6617321.001]
[260376.164, 6626468.512]
[262913.8, 6629993.8]
[262859.357, 6630100.201]
[266569.0, 6634644.733]
[266501.882, 6634674.533]
[266681.921, 6636157.536]
[253629.12, 6792873.653]
[255196.33, 6798374.253]
[248554.274, 6806111.671]
[255981.22, 6649822.641]
[255949.499, 6649718.941]
[255996.548, 6649638.836]
[255562.939, 6649433.67]
[253804.335, 6648881.233]
[285952.08, 6666599.08]
[285782.862, 6666540.673]
[288504.098, 6678367.738]
[288123.429, 6683246.719]
[288687.81, 6685830.738]
[291488.62, 6700781.877]
[293038.158, 6703400.503]
[252926.199, 6648571.474]
[249600.867, 6647313.65]
[248235.319, 6646091.624]
[248337.537, 6645983.089]
[233756.144, 6635128.632]
[231168.99, 6631096.981]
[231230.453, 6631178.904]
[231975.545, 6628931.746]
[262009.976, 6648500.287]
[262218.3, 6648860.7]
[262104.488, 6648650.741]
[232651.276, 6626959.131]
[232754.221, 6626942.122]
[228914.317, 6606533.461]
[229168.757, 6606512.35]
[260150.936, 6649209.851]
[227819.507, 6613899.137]
[231217.7, 6622713.3]
[231298.87, 6622616.334]
[258315.735, 6650468.788]
[258371.875, 6650565.442]
[234600.188, 6601677.872]
[234672.211, 6601480.425]
[236900.83, 6599167.968]
[236464.544, 6583970.253]
[236347.71, 6584092.03]
[228391.32, 6572901.23]
[228305.467, 6573065.509]
[226134.498, 6569602.164]
[222064.833, 6564402.387]
[222283.2, 6564161.53]
[275589.599, 6650838.826]
[277165.573, 6651350.282]
[220219.2, 6562735.57]
[220300.14, 6562596.94]
[217213.96, 6559993.68]
[293838.559, 6714607.675]
[294781.243, 6719985.294]
[297583.563, 6723553.674]
[297490.551, 6723650.008]
[297627.384, 6727626.273]
[296553.959, 6735450.876]
[211473.21, 6558041.3]
[211504.768, 6558106.022]
[203227.911, 6561405.529]
[203171.881, 6561297.202]
[197418.391, 6565458.318]
[195921.422, 6563314.274]
[194243.6, 6560778.5]
[194299.846, 6560716.867]
[262140.262, 6653616.72]
[263796.297, 7027575.124]
[289583.855, 6667695.136]
[294638.49, 6670868.1]
[301086.0, 6673886.2]
[274921.962, 7041516.329]
[260541.105, 7030606.596]
[158195.12, 6535221.95]
[135528.04, 6498448.02]
[134151.72, 6497196.66]
[134135.802, 6497395.594]
[124598.67, 6485232.926]
[123617.037, 6484755.819]
[123777.7, 6484673.82]
[122363.536, 6483048.961]
[122243.55, 6483121.62]
[112860.45, 6477484.152]
[117821.878, 6480554.506]
[117811.943, 6480635.906]
[117827.45, 6480494.744]
[109610.31, 6477572.86]
[109495.196, 6477785.823]
[106888.546, 6474945.739]
[97954.285, 6470331.668]
[97883.8, 6470371.127]
[98019.29, 6470283.049]
[96917.8, 6469382.708]
[96961.031, 6469421.552]
[97423.677, 6469341.201]
[95868.38, 6469644.786]
[237012.0, 6596313.801]
[237199.3, 6596330.8]
[237171.026, 6596208.584]
[237403.74, 6590928.3]
[295279.097, 6608105.577]
[295219.74, 6608018.53]
[295339.45, 6608165.76]
[40485.512, 6468953.352]
[259371.834, 6614870.954]
[259686.221, 6614830.717]
[280820.099, 6611653.812]
[286476.018, 6610028.671]
[292492.73, 6609954.02]
[292494.76, 6610077.67]
[246297.41, 6651540.166]
[315581.879, 6598323.466]
[294806.64, 6607474.32]
[279197.37, 6851802.035]
[271916.828, 6894199.386]
[273869.0, 6906288.4]
[355638.425, 6794947.328]
[236431.01, 6630607.979]
[233686.412, 6634650.779]
[36489.393, 6922437.97]
[52994.915, 6950717.369]
[39101.892, 6927462.144]
[123461.402, 6957311.371]
[128033.679, 6952108.222]
[39290.428, 6927657.037]
[51467.402, 6910022.235]
[48407.264, 6911497.963]
[32821.896, 6934450.508]
[123924.076, 6957152.976]
[42939.321, 6915249.172]
[49856.497, 6911077.766]
[170464.917, 6966615.449]
[47437.205, 6912550.506]
[34780.933, 6925687.609]
[46046.491, 6943573.686]
[52956.2, 6950950.385]
[34258.962, 6924801.321]
[127773.319, 6953604.584]
[123548.82, 6957224.63]
[38996.234, 6928483.78]
[33405.813, 6933487.999]
[116327.968, 6953139.81]
[170188.171, 6976447.457]
[117820.698, 6952656.215]
[33353.281, 6933612.108]
[170195.054, 6975266.817]
[44256.116, 6914910.345]
